model_size,step,flops
1B,100.0,825687276.3097087
1B,200.0,1651374552.6194172
1B,300.0,2477061828.929127
1B,400.0,3302749105.2388344
1B,500.0,4128436381.5485454
1B,600.0,4954123657.858254
1B,700.0,5779810934.167963
1B,800.0,6605498210.47767
1B,900.0,7431185486.787377
1B,1000.0,8256872763.097091
1B,1100.0,9082560039.406797
1B,1200.0,9908247315.716507
1B,1300.0,10733934592.026217
1B,1400.0,11559621868.335924
1B,1500.0,12385309144.645632
1B,1600.0,13210996420.95534
1B,1700.0,14036683697.265045
1B,1800.0,14862370973.574755
1B,1900.0,15688058249.884468
1B,2000.0,16513745526.194181
1B,2100.0,17339432802.50388
1B,2200.0,18165120078.813595
1B,2300.0,18990807355.123302
1B,2400.0,19816494631.433014
1B,2500.0,20642181907.742718
1B,2600.0,21467869184.052433
1B,2700.0,22293556460.362137
1B,2800.0,23119243736.67185
1B,2900.0,23944931012.981556
1B,3000.0,24770618289.291264
1B,3100.0,25596305565.60098
1B,3200.0,26421992841.91068
1B,3300.0,27247680118.220394
1B,3400.0,28073367394.530094
1B,3500.0,28899054670.83981
1B,3600.0,29724741947.149513
1B,3700.0,30550429223.459225
1B,3800.0,31376116499.768932
1B,3900.0,32201803776.078644
1B,4000.0,33027491052.38836
1B,4100.0,33853178328.69806
1B,4200.0,34678865605.00776
1B,4300.0,35504552881.31748
1B,4400.0,36330240157.62719
1B,4500.0,37155927433.9369
1B,4600.0,37981614710.246605
1B,4700.0,38807301986.55631
1B,4800.0,39632989262.86602
1B,4900.0,40458676539.17573
1B,5000.0,41284363815.485435
1B,5100.0,42110051091.79516
1B,5200.0,42935738368.10486
1B,5300.0,43761425644.41456
1B,5400.0,44587112920.72428
1B,5500.0,45412800197.03399
1B,5600.0,46238487473.3437
1B,5700.0,47064174749.6534
1B,5800.0,47889862025.96309
1B,5900.0,48715549302.272835
1B,6000.0,49541236578.58253
1B,6100.0,50366923854.89221
1B,6200.0,51192611131.201965
1B,6300.0,52018298407.511665
1B,6400.0,52843985683.82135
1B,6500.0,53669672960.13105
1B,6600.0,54495360236.440796
1B,6700.0,55321047512.75049
1B,6800.0,56146734789.06018
1B,6900.0,56972422065.36991
1B,7000.0,57798109341.67963
1B,7100.0,58623796617.98932
1B,7200.0,59449483894.29901
1B,7300.0,60275171170.60876
1B,7400.0,61100858446.91845
1B,7500.0,61926545723.22815
1B,7600.0,62752232999.53788
1B,7700.0,63577920275.847595
1B,7800.0,64403607552.15728
1B,7900.0,65229294828.46697
1B,8000.0,66054982104.776726
1B,8100.0,66880669381.08642
1B,8200.0,67706356657.39611
1B,8300.0,68532043933.70584
1B,8400.0,69357731210.01553
1B,8500.0,70183418486.32524
1B,8600.0,71009105762.63495
1B,8700.0,71834793038.94469
1B,8800.0,72660480315.25438
1B,8900.0,73486167591.56409
1B,9000.0,74311854867.8738
1B,9100.0,75137542144.18349
1B,9200.0,75963229420.49321
1B,9300.0,76788916696.80292
1B,9400.0,77614603973.11263
1B,9500.0,78440291249.42235
1B,9600.0,79265978525.73204
1B,9700.0,80091665802.04175
1B,9800.0,80917353078.35146
1B,9900.0,81743040354.66118
1B,10000.0,82568727630.97089
1B,10100.0,83394414907.2806
1B,10200.0,84220102183.59032
1B,10300.0,85045789459.90001
1B,10400.0,85871476736.20972
1B,10500.0,86697164012.51942
1B,10600.0,87522851288.82912
1B,10700.0,88348538565.13884
1B,10800.0,89174225841.44855
1B,10900.0,89999913117.75826
1B,11000.0,90825600394.06798
1B,11100.0,91651287670.37767
1B,11200.0,92476974946.6874
